group,key,metric,value
router,overall,accuracy,1.0
router,structured_role,accuracy,1.0
router,compensation,accuracy,1.0
router,forecast,accuracy,1.0
router,vector,accuracy,1.0
router,mixed,accuracy,1.0
structured_role,overall,hit_rate,1.0
structured_role,overall,provenance_completeness,1.0
structured_role,overall,avg_latency_ms,0.03
compensation,overall,accuracy,1.0
compensation,overall,provenance_completeness,1.0
retrieval_current,vector,hit_rate@k,0.97
retrieval_current,vector,mrr,0.842
retrieval_current,vector,recall@k,0.955
retrieval_current,keyword,hit_rate@k,0.97
retrieval_current,keyword,mrr,0.904
retrieval_current,keyword,recall@k,0.97
retrieval_current,hybrid,hit_rate@k,0.939
retrieval_current,hybrid,mrr,0.871
retrieval_current,hybrid,recall@k,0.924
retrieval_diff_vs_baseline,vector,hit_rate@k,0.0
retrieval_diff_vs_baseline,vector,mrr,0.0
retrieval_diff_vs_baseline,vector,recall@k,0.0
retrieval_diff_vs_baseline,keyword,hit_rate@k,0.0
retrieval_diff_vs_baseline,keyword,mrr,0.0
retrieval_diff_vs_baseline,keyword,recall@k,0.0
retrieval_diff_vs_baseline,hybrid,hit_rate@k,0.0
retrieval_diff_vs_baseline,hybrid,mrr,0.0
retrieval_diff_vs_baseline,hybrid,recall@k,0.0
